Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 03-Jun-2024,Total applicable ELM%
1,AARTIIND,OTH,3.5,0,3.5
2,AARTIIND,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABBOTINDIA,OTH,3.5,0,3.5
6,ABBOTINDIA,OTM,5.25,0,5.25
7,ABCAPITAL,OTH,3.5,0,3.5
8,ABCAPITAL,OTM,5.25,0,5.25
9,ABFRL,OTH,3.5,0,3.5
10,ABFRL,OTM,5.25,0,5.25
11,ACC,OTH,3.5,0,3.5
12,ACC,OTM,5.25,0,5.25
13,ADANIENT,OTH,3.5,0,3.5
14,ADANIENT,OTM,5.25,0,5.25
15,ADANIPORTS,OTH,3.5,0,3.5
16,ADANIPORTS,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,0,3.5
20,AMBUJACEM,OTM,5.25,0,5.25
21,APOLLOHOSP,OTH,3.5,0,3.5
22,APOLLOHOSP,OTM,5.25,0,5.25
23,APOLLOTYRE,OTH,3.5,0,3.5
24,APOLLOTYRE,OTM,5.25,0,5.25
25,ASHOKLEY,OTH,3.5,0,3.5
26,ASHOKLEY,OTM,5.25,0,5.25
27,ASIANPAINT,OTH,3.5,0,3.5
28,ASIANPAINT,OTM,5.25,0,5.25
29,ASTRAL,OTH,3.5,0,3.5
30,ASTRAL,OTM,5.25,0,5.25
31,ATUL,OTH,3.5,0,3.5
32,ATUL,OTM,5.25,0,5.25
33,AUBANK,OTH,3.5,0,3.5
34,AUBANK,OTM,5.25,0,5.25
35,AUROPHARMA,OTH,3.5,0,3.5
36,AUROPHARMA,OTM,5.25,0,5.25
37,AXISBANK,OTH,3.5,0,3.5
38,AXISBANK,OTM,5.25,0,5.25
39,BAJAJ-AUTO,OTH,3.5,0,3.5
40,BAJAJ-AUTO,OTM,5.25,0,5.25
